codepoint	count	example
U+E96E	1	Sources\Plugins\WpfHexEditor.Plugins.UnitTesting\Views\UnitTestingPanel.xaml  <TextBlock Text="&#xE96E;" FontFamily="Segoe MDL2 Assets" FontSize="13"/> </Butt
U+E96F	1	Sources\Plugins\WpfHexEditor.Plugins.XamlDesigner\Panels\XamlOutlinePanel.xaml  <TextBlock FontFamily="Segoe MDL2 Assets" FontSize="12" Text="&#xE96F;"/> </Butt
U+E972	1	Sources\Plugins\WpfHexEditor.Plugins.XamlDesigner\Panels\XamlToolboxPanel.xaml  <TextBlock Text="&#xE972;" FontFamily="Segoe MDL2 Assets" FontSize="13"/> </Butt
U+E9A0	1	Sources\Plugins\WpfHexEditor.Plugins.XamlDesigner\Panels\XamlToolboxPanel.xaml  <TextBlock Text="&#xE9A0;" FontFamily="Segoe MDL2 Assets" FontSize="13"/> </Butt
U+E9A4	1	Sources\Plugins\WpfHexEditor.Plugins.SynalysisGrammar\Views\GrammarSelectorPanel.xaml  <TextBlock Text="&#xE9A4;" FontFamily="Segoe MDL2 Assets" FontSize="14" Foregrou
U+E9A8	1	Sources\WpfHexEditor.App\MainWindow.xaml  <TextBlock Text="&#xE9A8;" FontFamily="Segoe MDL2 Assets" FontSize="14" Vertical
U+E9CE	3	Sources\Plugins\WpfHexEditor.Plugins.DataInspector\Views\DataInspectorPanel.xaml  <TextBlock DockPanel.Dock="Right" Text="&#xE9CE;" 
U+E9D2	3	Sources\Editors\WpfHexEditor.Editor.DocumentEditor\Controls\DocumentEditorHost.xaml  <TextBlock FontFamily="Segoe MDL2 Assets" Text="&#xE9D2;" FontSize="13"/> </Butt
U+E9D5	3	Sources\Editors\WpfHexEditor.HexEditor\HexEditor.xaml  <TextBlock Text="&#xE9D5;" FontFamily="Segoe MDL2 Assets" FontSize="13" Foregrou
U+E9D9	5	Sources\Editors\WpfHexEditor.Editor.DisassemblyViewer\Controls\DisassemblyViewer.xaml  <TextBlock Text="&#xE9D9;" FontFamily="Segoe MDL2 Assets" FontSize="32" 
U+E9E6	1	Sources\Plugins\WpfHexEditor.Plugins.UnitTesting\Views\UnitTestingPanel.xaml  <TextBlock Text="&#xE9E6;" FontFamily="Segoe MDL2 Assets" FontSize="10" Margin="
U+E9F5	1	Sources\WpfHexEditor.App\MainWindow.xaml  <TextBlock Text="&#xE9F5;" FontFamily="Segoe MDL2 Assets" FontSize="13" Fore
U+EA37	1	Sources\Editors\WpfHexEditor.HexEditor\HexEditor.xaml  <TextBlock Text="&#xEA37;" FontFamily="Segoe MDL2 Assets" FontSize="13" Foregrou
U+EA39	6	Sources\Editors\WpfHexEditor.Editor.CodeEditor\Controls\FormatScriptEditorControl.xaml  <TextBlock Text="&#xEA39;" FontFamily="Segoe MDL2 Assets" FontSize="12" Margin="
U+EA3C	1	Sources\Core\WpfHexEditor.Core.ProjectSystem\Documents\References\ReferenceManagerDocument.xaml  <TextBlock FontFamily="Segoe MDL2 Assets" Text="&#xEA3C;" FontSize="13" Foregrou
U+EA47	1	Sources\Editors\WpfHexEditor.Editor.TblEditor\Controls\TblEditor.xaml  <TextBlock Text="&#xEA47;" FontFamily="Segoe MDL2 Assets" FontSize="12"/> </Menu
U+EB90	5	Sources\Plugins\WpfHexEditor.Plugins.UnitTesting\Views\UnitTestingPanel.xaml  <TextBlock Text="&#xEB90;" FontFamily="Segoe MDL2 Assets" FontSize="11" Margin="
U+EB9F	5	Sources\Editors\WpfHexEditor.Editor.CodeEditor\Controls\FormatScriptEditorControl.xaml  <TextBlock Text="&#xEB9F;" FontFamily="Segoe MDL2 Assets" FontSize="14" Margin="
U+EBD2	2	Sources\Shell\WpfHexEditor.Shell.Panels\Panels\WhfmtBrowserPanel.xaml  <TextBlock Grid.Column="0" Text="&#xEBD2;" FontFamily="Segoe MDL2 Assets" FontSi
U+EBD3	1	Sources\Shell\WpfHexEditor.Shell.Panels\Panels\WhfmtFormatDetailPanel.xaml  <TextBlock Text="&#xEBD3;" FontFamily="Segoe MDL2 Assets" FontSize="12" Foregrou
U+EBE8	2	Sources\Controls\WpfHexEditor.Terminal\TerminalPanel.xaml  <TextBlock Text="&#xEBE8;" FontFamily="Segoe MDL2 Assets" FontSize="13" Foregrou
U+EC50	2	Sources\WpfHexEditor.App\AssemblyExplorer\Views\OpenAssemblyDialog.xaml  <TextBlock Text="&#xEC50;" FontFamily="Segoe MDL2 Assets" 
U+ECAA	3	Sources\Plugins\WpfHexEditor.PluginHost\UI\PluginManagerControl.xaml  <TextBlock Text="&#xECAA;" FontFamily="Segoe MDL2 Assets" FontSize="18" Horizont
U+ECC6	1	Sources\WpfHexEditor.App\MainWindow.xaml  <TextBlock Text="&#xECC6;" FontFamily="Segoe MDL2 Assets" FontSize="13" Fore
U+ECC9	1	Sources\WpfHexEditor.App\Debug\Panels\BreakpointExplorerPanel.xaml  <TextBlock Text="&#xECC9;" FontFamily="Segoe MDL2 Assets" FontSize="12" /></Menu
U+ED25	2	Sources\Editors\WpfHexEditor.HexEditor\SearchModule\Views\AdvancedSearchDialog.xaml  <TextBlock Text="&#xED25;" FontFamily="Segoe MDL2 Assets" FontSize="10" Vertical
U+ED41	2	Sources\WpfHexEditor.App\MainWindow.xaml  <TextBlock Text="&#xED41;" FontFamily="Segoe MDL2 Assets" FontSize="13" 
U+ED60	2	Sources\Plugins\WpfHexEditor.Plugins.ScriptRunner\Panels\ScriptRunnerPanel.xaml  <TextBlock Text="&#xED60;" FontFamily="Segoe MDL2 Assets" FontSize="13" /> </But
U+EDE1	6	Sources\Editors\WpfHexEditor.Editor.DocumentEditor\Controls\DocumentEditorHost.xaml  <TextBlock FontFamily="Segoe MDL2 Assets" Text="&#xEDE1;" FontSize="13"/> </Butt
U+EF20	1	Sources\WpfHexEditor.App\MainWindow.xaml  <TextBlock Text="&#xEF20;" FontFamily="Segoe MDL2 Assets" FontSize="13" Fore
U+F0AF	1	Sources\Controls\WpfHexEditor.Terminal\TerminalPanel.xaml  <TextBlock Text="&#xF0AF;" FontFamily="Segoe MDL2 Assets" FontSize="13" Foregrou
U+F165	1	Sources\Shell\WpfHexEditor.Shell.Panels\Panels\SolutionExplorerPanel.xaml  <TextBlock Text="&#xF165;" FontFamily="Segoe MDL2 Assets" FontSize="11" Foregrou
U+F16A	3	Sources\WpfHexEditor.App\MainWindow.xaml  <TextBlock Text="&#xF16A;" FontFamily="Segoe MDL2 Assets" FontSize="13" Fore
U+F5B0	2	Sources\WpfHexEditor.App\Debug\Panels\LaunchConfigEditorPanel.xaml  <TextBlock Text="&#xF5B0;" FontFamily="Segoe MDL2 Assets" FontSize="13" Foregrou
